วันที่,ราคา / หน่วย,,,
,Steel,Paper,Glass,Plastic
29/12/64,6.908695652,1.857142857,6.692105263,3.289189189
15/01/65,7.12173913,2.628571429,6.692105263,3.275675676
31/01/65,7.42173913,3.45,6.692105263,3.316216216
16/02/65,8.065217391,3.15,6.692105263,3.410810811
01/03/65,8.156521739,3.071428571,6.692105263,3.421621622
15/03/65,10.09130435,3.914285714,6.705263158,3.502702703
01/04/65,10.1,3.757142857,6.705263158,3.502702703
19/04/65,10.09130435,3.914285714,6.705263158,3.502702703
27/04/65,10.09130435,3.828571429,6.705263158,3.52972973
16/05/65,7.956521739,3.628571429,6.723684211,3.540540541
01/06/65,5.991304348,3.45,6.723684211,3.513513514
16/06/65,7.456521739,3.021428571,6.723684211,3.513513514
01/07/65,5.326086957,3.007142857,6.723684211,3.378378378
16/07/65,3.552173913,3.15,6.797368421,3.243243243
01/08/65,5.160869565,3.85,6.810526316,3.135135135
16/08/65,6.47826087,3.65,6.810526316,2.894594595
01/09/65,6.226086957,3.407142857,6.818421053,2.894594595
15/09/65,6.356521739,3.292857143,7.013157895,3.002702703
01/10/65,6.97826087,3.164285714,7.013157895,3.002702703
16/10/65,8.008695652,3.192857143,7.028947368,2.948648649
01/11/65,7.539130435,3.135714286,7.034210526,2.867567568
16/11/65,7.265217391,3.364285714,6.771052632,3.8025
01/12/65,6.330434783,3.364285714,5.192105263,2.921621622
17/12/65,5.86,3.18,5.23,2.92
30/12/65,5.913043478,3.178571429,5.226315789,2.867567568
16/01/66,6.38,3.38,4.61,3.11
01/02/66,6.826086957,3.321428571,4.605263158,3.079487179
16/02/66,6.60,3.24,4.61,3.05
01/03/66,7.095652174,2.921428571,4.610526316,3.053846154
16/03/66,7.91,2.65,4.62,3.05
01/04/66,7.1,2.478571429,4.615789474,3.130769231
17/04/66,6.62,2.26,4.62,3.13
30/04/66,6.126086957,2.021428571,4.618421053,3.182051282
16/05/66,4.93,1.39,4.62,3.21
01/06/66,5.243478261,0.9428571429,4.623684211,2.98974359
15/06/66,5.35,0.94,4.62,2.96
01/07/66,5.526086957,0.8642857143,4.628947368,2.861538462
16/07/66,5.04,0.86,4.63,2.83
31/07/66,5.508695652,0.7785714286,4.605263158,2.861538462
16/08/66,5.39,0.86,4.63,2.86
01/09/66,6.095652174,1.621428571,4.626315789,2.771794872
15/09/66,6.60,1.64,4.62,2.78
01/10/66,6.352173913,1.75,3.197368421,3.8275
16/10/66,6.42,1.92,4.65,2.71
01/11/66,6.52,2.00,4.65,2.94
16/11/66,6.18,2.09,4.65,3.13
01/12/66,6.16,2.01,4.67,3.16
16/12/66,5.79,1.22,4.67,3.16
29/12/66,6.13,1.22,4.67,3.16
16/01/67,6.67,1.55,4.68,3.13
31/01/67,7.10,1.79,4.66,3.13
15/02/67,7.02,1.79,4.62,3.13
01/03/67,7.32,2.16,4.59,3.16
16/03/67,7.32,2.25,4.49,3.18
01/04/67,7.08,2.31,4.48,3.26
19/04/67,7.16,2.36,4.48,3.26
30/04/67,7.39,2.39,4.47,3.21
16/05/67,7.62,2.79,4.41,3.21
01/06/67,7.72,3.01,4.38,3.21
16/06/67,7.37,2.92,4.36,3.21
01/07/67,6.31,2.77,3.76,3.21
15/07/67,6.33,2.76,3.76,3.21
01/08/67,5.62,2.82,3.76,3.79
15/08/67,4.99,2.62,3.76,3.81
31/08/67,4.12,2.33,3.75,3.84
14/09/67,5.48,1.94,3.20,3.83
01/10/67,5.70,1.92,3.20,3.80
